"INSTNM","CITY","STABBR","INSTURL","NPCURL","lat","lng","CONTROL"
"Cossatot Community College of the University of Arkansas","De Queen","AR","www.cccua.edu/","www.cccua.edu/public/userfiles/files/FinAid/NPC/npcalc.htm",34.043389,-94.3673,1
"Crowley's Ridge College","Paragould","AR","www.crc.edu/","www.crc.edu/",36.066239,-90.58482,2
"Crowley's Ridge Technical Institute","Forrest City","AR","www.crti.tec.ar.us","www.crti.tec.ar.us",35.041908,-90.767807,1
"East Arkansas Community College","Forrest City","AR","WWW.EACC.EDU","www.eacc.edu/Students/financial_aid/net_price_calc.html",35.039673,-90.767445,1
"Eastern College of Health Vocations-Little Rock","Little Rock","AR","www.easterncollege.edu","www.easterncollege.edu",34.75126,-92.341981,3
"Imagine-Paul Mitchell Partner School","North Little Rock","AR","www.pmlittlerock.com","www.pmlittlerock.com",34.791306,-92.221304,3
"National Park Community College","Hot Springs","AR","www.np.edu","www.np.edu/financialaid/npcalc/npcalc.htm",34.512731,-93.117111,1
"University of Arkansas Community College-Batesville","Batesville","AR","www.uaccb.edu","www.uaccb.edu/sites/default/files/content/net-price-calculator/net-price-calculator.html",35.79293,-91.616123,1
"Harding University","Searcy","AR","www.harding.edu","www.harding.edu/admissions/npc.html",35.249605,-91.729008,2
"Henderson State University","Arkadelphia","AR","www.hsu.edu","www.hsu.edu/net-price-calculator/",34.127792,-93.060313,1
"Hendrix College","Conway","AR","www.hendrix.edu","www.hendrix.edu/Admission/PriceCalculator/",35.09972,-92.442021,2
"Hot Springs Beauty College","Hot Springs","AR","hotspringsbeautycollege.com","hotspringsbeautycollege.com",34.496287,-93.038381,3
"Jefferson Regional Medical Center School of Nursing","Pine Bluff","AR","www.jrmc.org","NULL",34.187831,-92.018045,2
"John Brown University","Siloam Springs","AR","www.jbu.edu","info.eaglenet.jbu.edu/npc",36.191077,-94.559088,2
"Lees School of Cosmetology","North  Little Rock","AR","www.leesschool.com","www.leesschool.com",34.781993,-92.296729,3
"Career Academy of Hair Design","Springdale","AR","www.beautynwa.com","www.beautynwa.com/npcalc/",36.16757,-94.131834,3
"Academy of Salon and Spa","Fort Smith","AR","www.academysalonspa.com","www.academysalonspa.com",35.380891,-94.416327,3
"Arkansas State University Mid-South","West Memphis","AR","www.midsouthcc.edu","www.midsouthcc.edu/NetPriceCalculator/npcalc.htm",35.145736,-90.22285,1
"Arkansas Northeastern College","Blytheville","AR","www.anc.edu","www.anc.edu",35.897362,-89.922491,1
"Margaret's Hair Academy Inc","Monticello","AR","margarethairacademy.com","margarethairacademy.com",33.629169,-91.7887,3
"New Tyler Barber College Inc","North Little Rock","AR","newtylerbarbercollege.com","newtylerbarbercollege.com",34.759076,-92.254108,3
"North Arkansas College","Harrison","AR","www.northark.edu","www.northark.edu/NetPrice/npcalc.htm",36.220528,-93.087317,1
"Northwest Technical Institute","Springdale","AR","www.nwti.edu","nwti.edu/netprice/npcalc.htm",36.178617,-94.116433,1
"Ouachita Baptist University","Arkadelphia","AR","www.obu.edu","www.obu.edu/finaid/",34.125045,-93.052442,2
"College of the Ouachitas","Malvern","AR","www.coto.edu","www.coto.edu/sites/default/static/netpricecalc/npcalc.htm",34.378745,-92.821416,1
"Ozarka College","Melbourne","AR","www.ozarka.edu","www.ozarka.edu/finaid/npcalc.cfm",36.053031,-91.896355,1
"University of the Ozarks","Clarksville","AR","www.ozarks.edu","https://admissions.ozarks.edu/secure/calc/",35.477785,-93.467924,2
"University of Arkansas Community College-Morrilton","Morrilton","AR","www.uaccm.edu","www.uaccm.edu/Future_Student/Calculator/calculator.htm",35.172136,-92.728507,1
"Philander Smith College","Little Rock","AR","www.philander.edu","www.philander.edu/financial-aid/npc.aspx",34.73666,-92.28242,2
"Phillips Community College of the University of Arkansas","Helena","AR","www.pccua.edu","https://pccuaedu-public.sharepoint.com/netcalc",34.544976,-90.617745,1
"Southeast Arkansas College","Pine Bluff","AR","www.seark.edu","www.seark.edu/financial-aid/net-price-calculator",34.209797,-92.024731,1
"Professional Cosmetology Education Center","El Dorado","AR","www.pcec.edu","www.pcec.edu/hea/npcalc.htm",33.215124,-92.663131,3
"Pulaski Technical College","North Little Rock","AR","www.pulaskitech.edu","www.pulaskitech.edu/administration/net_price_calculator/npcalc.htm",34.78243,-92.299729,1
"University of Arkansas Community College-Hope","Hope","AR","www.uacch.edu","www.uacch.edu/netpricecal/npcalc.htm",33.64791,-93.584528,1
"Rich Mountain Community College","Mena","AR","www.rmcc.edu","www.rmcc.edu",34.590793,-94.2197,1
"Paul Mitchell the School-Arkansas","Fayetteville","AR","www.pmtsarkansas.com","https://arkansas.paulmitchell.edu/programs/Tuition-Calculator",36.12681,-94.154191,3
"Searcy Beauty College","Searcy","AR","searcybeautycollege.com/","searcybeautycollege.com",35.237723,-91.73454,3
"Shorter College","N Little Rock","AR","www.shortercollege.org/","www.shortercollege.edu",34.75933,-92.261331,2
"Williams Baptist College","Walnut Ridge","AR","www.wbcoll.edu","williamsbaptistcollege.com/financial_aid_scholarships/net_price_calculator.aspx",36.126825,-90.939876,2
"South Arkansas Community College","El Dorado","AR","www.southark.edu","www.southark.co/a1/netpricecalculator/",33.209446,-92.666087,1
"Southern Arkansas University Main Campus","Magnolia","AR","WWW.SAUMAG.EDU","www.saumag.edu/netprice/",33.291195,-93.235087,1
"Southern Arkansas University Tech","Camden","AR","www.sautech.edu","www.sautech.edu/netPriceCalc/npcalc.htm",33.63037,-92.719498,1
"Velvatex College of Beauty Culture","Little Rock","AR","www.velvatexcollege.com","www.velvatexcollege.com",34.735724,-92.289758,3
"University of Arkansas-Fort Smith","Fort Smith","AR","uafs.edu/","admissions.uafs.edu/sites/admissions.uafs.edu/files/Departments/Financial/documents/np_calc/npcalc.htm",35.385345,-94.374073,1
"Academy of Art University","San Francisco","CA","www.academyart.edu","https://npc.collegeboard.org/student/app/academyart",37.787748,-122.400686,3
"ITT Technical Institute-Rancho Cordova","Rancho Cordova","CA","www.itt-tech.edu","www.itt-tech.edu/npc",38.59172,-121.281506,3
"Academy of Chinese Culture and Health Sciences","Oakland","CA","www.acchs.edu","www.acchs.edu/npcalc.htm",37.806662,-122.272733,2
